day,lambda,value,group
64,2.2,0.0016144703758212537,misinformed
65,2.2,0.0014030609934103367,misinformed
66,2.2,0.0012194944654965443,misinformed
67,2.2,0.001060088501073355,misinformed
68,2.2,0.0009216485480016326,misinformed
69,2.2,0.0008014033804332634,misinformed
70,2.2,0.0006969491008122891,misinformed
71,2.2,0.0006062004852561846,misinformed
72,2.2,0.0005273487298145109,misinformed
73,2.2,0.0004588247704091211,misinformed
74,2.2,0.0003992674519813335,misinformed
75,2.2,0.0003474959134566576,misinformed
76,2.2,0.00030248563559796577,misinformed
77,2.2,0.0002633476696691837,misinformed
78,2.2,0.00022931062705736945,misinformed
79,2.2,0.00019970506453091785,misinformed
80,2.2,0.0001739499475082812,misinformed
81,2.2,0.00015154091536530846,misinformed
82,2.2,0.00013204010913667272,misinformed
83,2.2,0.00011506735361253282,misinformed
84,2.2,0.00010029251337179598,misinformed
85,2.2,8.742886624055825e-05,misinformed
86,2.2,7.62273584722624e-05,misinformed
